modelo,mecanica,som_polifonia,customizacao,score_geral,justificativa,priorizado
"PIANO DIGITAL BULARA PB200",75,78,65,73.4,"Ação Hammer Action básica com polifonia de 128 notas, superando o gargalo do Yamaha P-145, mas com pivot curto e amostragem estática que limita a expressividade necessária para o processamento sensorial AHSD. | Veredito: Risco moderado de gasto duplo; a ausência de sensores triplos e de modelagem de ressonância avançada resultará em obsolescência técnica precoce para usuários com alta velocidade de aprendizado e exigência de feedback tátil.",False
"PIANO DIGITAL VERTICAL BULARA PBV205",70,72,55,66.85,"Ação Hammer Action padrão sem sensores triplos ou escapamento, com polifonia de 128 notas que atende ao básico, mas carece da modelagem de ressonância simpática encontrada no Kawai ES120. | Veredito: Risco elevado de gasto duplo. Para usuários AHSD, a limitação de pivot e a ausência de parametrização profunda (EQ/Virtual Tech) resultarão em um teto técnico alcançável em menos de 12 meses de estudo intensivo.",False
"PIANO DIGITAL CASIO CDP S110 (TRI-SENSOR II)",75,68,40,64.15,"A implementação do Tri-Sensor II melhora a repetição de notas, mas o pivot curto e a polifonia de 64 notas geram 'note stealing' em peças complexas, limitando o processamento sensorial AHSD. | Veredito: Evite o investimento. O teto técnico é atingido rapidamente por alunos de alta performance, resultando em gasto duplo em menos de um ano devido à carência de ressonância harmônica.",False
"Casio Privia PX-5S",84,88,98,88.7,"Ação Tri-Sensor II com 256 notas de polifonia e arquitetura Hex Layer; oferece profundidade de síntese e controle MIDI superior ao NPK-20, compensando o pivot de comprimento médio. | Veredito: Excelente investimento para AHSD que demanda complexidade além do piano acústico; a profundidade de edição evita o teto técnico precoce, embora a mecânica possa ser superada por modelos híbridos em 4 anos.",False
"Yamaha P-45B",70,64,55,64.45,"Ação GHS de sensor duplo e polifonia de 64 notas criam um teto técnico baixo, similar ao P-145, limitando a expressão em peças complexas e processamento sensorial. | Veredito: Não recomendado para AHSD; o rápido desenvolvimento cognitivo e técnico exigirá a troca do instrumento em menos de um ano, resultando em gasto duplo inevitável.",False
"CASIO PXS1100 PIANO 88",70,78,65,71.15,"Embora apresente polifonia de 192 notas superior ao P-145, o design ultra-slim impõe um pivot curto que dificulta o controle dinâmico no topo das teclas, limitando a execução de repertório virtuoso. | Veredito: Alto risco de gasto duplo. A limitação física da alavanca das teclas (pivot) frustrará a evolução de um aluno AHSD em menos de 12 meses, exigindo upgrade para modelos com mecânica mais profunda como o FP-30X ou ES120.",False
"Casio PX-S1100 Privia",76,84,75,78.15,"O design ultra-compacto impõe um pivot curto que compromete a alavancagem nas teclas pretas, embora a polifonia de 192 notas e o motor AiR ofereçam uma resposta harmônica superior ao P-145. | Veredito: Risco moderado de gasto duplo: a limitação física da profundidade da tecla frustrará o desenvolvimento de técnicas avançadas de legato e controle dinâmico em menos de 18 meses para um perfil AHSD.",False
"Casio Privia PX-S1100",70,80,75,74.25,"O design ultra-compacto impõe um pivot curto que compromete a alavanca mecânica no topo das teclas, embora a polifonia de 192 notas e a ressonância AiR superem modelos básicos como o P-145. | Veredito: Risco de gasto duplo: a limitação física da ação 'Smart Scaled' torna-se um teto técnico para alunos AHSD em menos de 18 meses, recomendando-se saltar diretamente para o FP-30X ou ES120.",False
"Kurzweil KAE1",78,75,72,75.6,"Ação H1 Ivory oferece peso adequado, mas a ausência de sensores triplos e escapamento a coloca abaixo da PHA-4 da Roland; a polifonia de 128 notas é o limite mínimo aceitável, carecendo da ressonância simpática avançada presente no Kawai ES120. | Veredito: Risco moderado de gasto duplo. Embora supere modelos básicos como P-145, a curva de aprendizado acelerada de um perfil AHSD exigirá uma troca para mecânicas com pivot mais longo e sensores triplos em curto prazo.",False
"PIANO DIGITAL DONNER DEP20",63,65,55,61.6,"Ação de martelo básica com pivot curto e sensores duplos, resultando em resposta dinâmica limitada; a polifonia de 128 notas é compartilhada com o motor de acompanhamento, gerando 'note stealing' em passagens complexas detectáveis por ouvidos AHSD. | Veredito: Alto risco de gasto duplo. O teto técnico é atingido rapidamente por alunos de alta performance; a transição para um instrumento superior será necessária em curto prazo para evitar a frustração com a falta de nuances mecânicas.",False
"PIANO TECLADO DIGITAL 88",68,66,50,62.9,"Mecânica de entrada com pivot curto e ausência de sensores triplos; motor sonoro genérico com amostragem estática que carece de ressonância simpática, situando-se abaixo do Yamaha P-145 em fidelidade tímbrica. | Veredito: Alto risco de gasto duplo. A curva de aprendizado acelerada de um perfil AHSD causará frustração com a falta de expressividade mecânica em menos de 12 meses; recomenda-se saltar para o Roland FP-30X ou Kawai ES120.",False
"PIANO DIGITAL PROFISSIONAL 88",70,68,50,64.4,"Ação de martelo genérica sem menção a sensores triplos ou escapamento, com polifonia provável de 64-128 notas, situando-se abaixo do patamar de entrada da Yamaha e Kawai. | Veredito: Alto risco de gasto duplo; a ausência de modelagem de ressonância e pivot curto limitará a expressão dinâmica de um aluno AHSD em poucos meses de estudo.",False
"PIANO DIGITAL KURZWEIL KA-E1",74,76,62,71.6,"Ação K6 ponderada e polifonia de 128 notas superam o Yamaha P-145, mas a ausência de sensores triplos e let-off limita o refinamento dinâmico exigido por perfis AHSD. | Veredito: Risco moderado de gasto duplo. O teto técnico da ação K6 é atingido rapidamente por alunos superdotados, tornando a migração para modelos com sensores triplos inevitável em curto prazo.",False
"PIANO DIGITAL KAE1 STAGE",78,75,72,75.6,"Ação H1 Ivory e polifonia de 128 notas superam modelos de entrada como o P-145, mas a ausência de sensores triplos e modelagem de ressonância simpática avançada limita o teto expressivo para o processamento sensorial AHSD. | Veredito: Risco moderado de gasto duplo; a polifonia limítrofe e a mecânica sem escapamento (let-off) podem ser superadas em menos de 24 meses por um aluno com curva de aprendizado acelerada.",False
"PIANO DIGITAL CASIO CDP S110 (TRI SENSOR II)",75,68,40,64.15,"A implementação do Tri Sensor II melhora a resposta de repetição em relação ao modelo base, mas o pivot curto e a polifonia de 64 notas criam um gargalo técnico intransponível para o processamento sensorial AHSD. | Veredito: Não recomendado. O baixo teto de polifonia e a ausência de modelagem harmônica avançada forçarão um upgrade em menos de 12 meses, configurando gasto duplo.",False
"Casio Privia PX-5S",84,88,98,88.7,"Ação Tri-Sensor II com 256 notas de polifonia e profundidade de síntese via Hex Layers, superando o NPK-20 em design sonoro e controle de zonas. | Veredito: Excelente investimento para perfis AHSD que buscam exploração timbrística e produção; evita gasto duplo com sintetizadores, embora a mecânica de pivot curto possa exigir upgrade para virtuosismo erudito em 4-5 anos.",False
"Yamaha P-45B",70,65,55,64.75,"Equipado com ação GHS de sensor duplo e polifonia limitada a 64 notas, o modelo apresenta um teto técnico obsoleto frente ao P-145, resultando em 'drop-outs' de notas em passagens complexas. | Veredito: Alto risco de gasto duplo. A curva de aprendizado acelerada de um perfil AHSD saturará a capacidade expressiva e o motor sonoro AWM em menos de 12 meses de estudo.",False
"PIANO DIGITAL KURZWEIL KA E1",75,78,65,73.4,"Ação K6 ponderada e polifonia de 128 notas superam o Yamaha P-145, mas a ausência de sensores triplos e simulação de escapamento limita a expressividade dinâmica exigida por usuários AHSD. | Veredito: Risco moderado de gasto duplo; o teto técnico de 128 notas e a mecânica sem pivot estendido podem frustrar a evolução de um aluno superdotado em menos de 18 meses.",False
"Kurzweil KAE1",78,80,75,77.85,"Ação H1 Ivory com peso balanceado satisfatório, porém a polifonia de 128 notas e a ausência de sensores triplos o posicionam abaixo do teto técnico do Roland FP-30X e da profundidade harmônica do Kawai ES120. | Veredito: Risco moderado de gasto duplo. Embora supere modelos básicos como o P-145, a falta de escapamento e modelagem de ressonância avançada pode limitar a expressividade de um aluno AHSD em menos de 24 meses de estudo intensivo.",False
"RODAS CRETA ACTION ARO",0,0,0,0.0,"O modelo analisado refere-se a um componente automotivo (roda aro 16) e não a um instrumento musical, carecendo de teclas, sensores ou motor de síntese sonora. | Veredito: Investimento nulo. O produto não possui utilidade pedagógica ou técnica para o desenvolvimento de habilidades pianísticas, representando um erro de categoria.",False
